forecast_lag_min,top_percent,top_percent_label,channel_name,channel_short_name,importance_total,importance_share_total,importance_mag,importance_phase,importance_share_mag,importance_share_phase,importance_total_norm_by_window_feature_count,importance_share_total_norm_by_window_feature_count,importance_mag_norm_by_window_feature_count,importance_phase_norm_by_window_feature_count,importance_share_mag_norm_by_window_feature_count,importance_share_phase_norm_by_window_feature_count,feature_count_total,feature_count_mag,feature_count_phase,unmatched_feature_count,val_css,test_css
5,1.0,100%,p3_flux_ic,p3,0.9024209225199866,0.9024209225199866,0.8788743114984388,0.023546611021547783,0.9506938482305706,0.3116926015320353,0.002477544627974436,0.9027143206473789,0.0024130899298865274,6.445469808790797e-05,0.9508649944089268,0.3117276134546389,1462,731,731,0,0.8314606741573034,0.8404255319148937
5,1.0,100%,p5_flux_ic,p5,0.03621519935474265,0.03621519935474265,0.019118029883251068,0.017097169471491612,0.020680310213307778,0.22631966980414409,9.914287991430775e-05,0.03612354606182797,5.2354773048713625e-05,4.67881068655942e-05,0.020630114263742616,0.22628520998391788,1462,731,731,0,0.8314606741573034,0.8404255319148937
5,1.0,100%,p7_flux_ic,p7,0.03834279704484596,0.03834279704484596,0.018771747821517953,0.019571049223328033,0.020305730797872384,0.25906705816596337,0.00010491297475286371,0.038225928874006214,5.133114329744673e-05,5.358183145541699e-05,0.02022675851406238,0.25914226487175795,1462,731,731,0,0.8314606741573034,0.8404255319148937
5,1.0,100%,long,long_xray,0.023021081080424458,0.023021081080424458,0.007691573504821549,0.015329507575602908,0.008320110758249288,0.20292067049785736,6.294956082914773e-05,0.022936204416787315,2.100811266312074e-05,4.1941448166026944e-05,0.00827813281326807,0.2028449116896853,1462,731,731,0,0.8314606741573034,0.8404255319148937
15,0.05,5%,p3_flux_ic,p3,0.916508889167802,0.916508889167802,0.9052138667393229,0.011295022428479124,0.9440772613155278,0.2743809169800343,0.01542613500018583,0.5800419593504345,0.015259264690070181,0.00016687031011564796,0.7142870731542413,0.031894595566551005,219,207,12,0,0.7241379310344828,0.8111111111111111
15,0.05,5%,p5_flux_ic,p5,0.010142412213329476,0.010142412213329476,0.007210593890904922,0.002931818322424554,0.007520165104744612,0.07122031008078594,0.0026228791550921525,0.09862353494512636,0.0017090919959213066,0.0009137871591708453,0.08000269634960738,0.17465582616502057,15,10,5,0,0.7241379310344828,0.8111111111111111
15,0.05,5%,p7_flux_ic,p7,0.029256357122555893,0.029256357122555893,0.014737971623617783,0.014518385498938111,0.015370714478656825,0.3526834896957934,0.004064170558307416,0.15281789338331245,0.0017009660920025865,0.002363204466304829,0.07962232231162296,0.4516888033684522,27,14,13,0,0.7241379310344828,0.8111111111111111
15,0.05,5%,long,long_xray,0.04409234149631264,0.04409234149631264,0.031672086732396375,0.012420254763916255,0.03303185910107063,0.3017152832433865,0.004481675798679845,0.1685166123211268,0.0026936071469258072,0.0017880686517540382,0.12608790818452814,0.3417607748999762,32,18,14,0,0.7241379310344828,0.8111111111111111
15,0.1,10%,p3_flux_ic,p3,0.8962432449021399,0.8962432449021399,0.868405176703119,0.02783806819902037,0.9394103492183842,0.3683023143530131,0.01100040147152991,0.7140276838054777,0.010647805062326694,0.0003525964092032156,0.8306120585270618,0.13630076192629445,317,252,65,0,0.7159090909090909,0.8131868131868132
15,0.1,10%,p5_flux_ic,p5,0.023489786454019307,0.023489786454019307,0.00948680230544014,0.014002984148579166,0.010262490949850742,0.18526183041507713,0.001180091277407724,0.07659882629440934,0.0004889845220095567,0.0006911067553981676,0.038144616476053175,0.2671563716319332,82,39,43,0,0.7159090909090909,0.8131868131868132
