forecast_lag_min,top_percent,top_percent_label,windows_used,total_concat_features,global_total_features_before_selection,baseline_feature_count_cumimp_gt50,baseline_cumimp_reached_gt50,feature_count_cumimp_gt50,cumimp_reached_at_gt50,train_accuracy,train_f1,train_precision,train_recall,train_tss,train_hss,train_css,val_accuracy,val_f1,val_precision,val_recall,val_tss,val_hss,val_css,test_accuracy,test_f1,test_precision,test_recall,test_tss,test_hss,test_css,channel_unmatched_feature_count,window45_total_features,window45_selected_features,window90_total_features,window90_selected_features,window180_total_features,window180_selected_features,window360_total_features,window360_selected_features,importance_sum_p3,importance_share_p3,feature_count_p3,importance_sum_norm_p3,importance_share_norm_p3,importance_sum_p5,importance_share_p5,feature_count_p5,importance_sum_norm_p5,importance_share_norm_p5,importance_sum_p7,importance_share_p7,feature_count_p7,importance_sum_norm_p7,importance_share_norm_p7,importance_sum_long_xray,importance_share_long_xray,feature_count_long_xray,importance_sum_norm_long_xray,importance_share_norm_long_xray
60,0.15,15%,"45,90,180,360",878,5848,143,0.5005984152429985,79,0.5017215671261166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9527720739219713,0.684931506849315,0.7575757575757576,0.625,0.6071029082774049,0.6596578651514691,0.5208333333333334,0.9501084598698482,0.7125,0.75,0.6785714285714286,0.6558983975451755,0.6852588458798385,0.5533980582524272,0,1472,200,1472,226,1456,249,1448,203,0.7436503543152289,0.7436503543152289,413,0.007102280143531794,0.5174830282528411,0.08666815523794759,0.08666815523794759,177,0.001963684644385188,0.143077076062045,0.07177817941186868,0.07177817941186868,120,0.0023977681416345715,0.1747050656839091,0.09790331103495448,0.09790331103495448,168,0.0022609300173879084,0.16473483000120495
60,0.25,25%,"45,90,180,360",1462,5848,143,0.5005984152429985,96,0.5009052487425483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9527720739219713,0.684931506849315,0.7575757575757576,0.625,0.6071029082774049,0.6596578651514691,0.5208333333333334,0.955531453362256,0.7320261437908496,0.8115942028985508,0.6666666666666666,0.6511535401750197,0.7080340454454176,0.5773195876288659,0,1472,341,1472,370,1456,392,1448,359,0.723276991035862,0.723276991035862,555,0.005184376264363382,0.5887473580828947,0.09280251318474779,0.09280251318474779,326,0.0011388793790351038,0.12933324885984926,0.08120045883281375,0.08120045883281375,272,0.0011917504349031605,0.13533738375942023,0.10272003694657653,0.10272003694657653,309,0.0012907680677513873,0.1465820092978357
60,0.5,50%,"45,90,180,360",2924,5848,143,0.5005984152429985,116,0.5006904103561488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9517453798767967,0.6758620689655173,0.7538461538461538,0.6125,0.5946029082774049,0.6500955438355117,0.5104166666666666,0.9522776572668112,0.717948717948718,0.7777777777777778,0.6666666666666666,0.6475735879077167,0.6920507682030728,0.56,0,1472,745,1472,725,1456,743,1448,711,0.7030079366876753,0.7030079366876753,856,0.003279240992764228,0.6561005184806177,0.10098442572127285,0.10098442572127285,708,0.0005716745739918016,0.11437890207698272,0.0958843530533185,0.0958843530533185,669,0.0005739153820607652,0.11482723610888419,0.1001232845377329,0.1001232845377329,691,0.0005732461756430627,0.11469334333351515
60,1.0,100%,"45,90,180,360",5848,5848,143,0.5005984152429985,139,0.5005937949961999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9517453798767967,0.6758620689655173,0.7538461538461538,0.6125,0.5946029082774049,0.6500955438355117,0.5104166666666666,0.9533622559652929,0.7295597484276729,0.7733333333333333,0.6904761904761905,0.6701897942948061,0.704129912386752,0.5742574257425742,0,1472,1472,1472,1472,1456,1456,1448,1448,0.6933211412863711,0.6933211412863711,1462,0.0018979195402555114,0.6933828722242802,0.10227405444350715,0.10227405444350715,1462,0.0002798536133189395,0.10224126897355487,0.09432568313656947,0.09432568313656947,1462,0.0002581054002851699,0.09429581180361048,0.11007912113355203,0.11007912113355203,1462,0.0003013098254368517,0.11008004699855402
120,0.05,5%,"45,90,180,360",293,5848,246,0.5000249398602895,66,0.5017330780319146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9332648870636551,0.49612403100775193,0.6530612244897959,0.4,0.3809843400447428,0.4625910395056279,0.32989690721649484,0.9349240780911063,0.5774647887323944,0.7068965517241379,0.4880952380952381,0.46780884191385375,0.5434890245915167,0.40594059405940597,0,1472,85,1472,74,1456,57,1448,77,0.7861913304183827,0.7861913304183827,227,0.013812512605125088,0.2506501868169801,0.05307312651853375,0.05307312651853375,16,0.013403976146677925,0.24323663777208485,0.07345649496472015,0.07345649496472015,18,0.017036022662421366,0.3091459450592517,0.0872790480983639,0.0872790480983639,32,0.010854220324263078,0.19696723035168331
120,0.1,10%,"45,90,180,360",585,5848,246,0.5000249398602895,102,0.5017618143571723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9383983572895277,0.53125,0.7083333333333334,0.425,0.40934004474272934,0.5004786652078774,0.3617021276595745,0.9338394793926247,0.5734265734265734,0.6949152542372882,0.4880952380952381,0.4666155244914194,0.5387504715665852,0.4019607843137255,0,1472,164,1472,166,1456,117,1448,138,0.6926650124238257,0.6926650124238257,327,0.008433934587238952,0.37381786453925736,0.09234693367919246,0.09234693367919246,82,0.004548104650673944,0.20158595619041758,0.10264177446828072,0.10264177446828072,81,0.005077688908922927,0.22505875580304188,0.11234627942870114,0.11234627942870114,95,0.004501886444896045,0.19953742346728365
120,0.15,15%,"45,90,180,360",878,5848,246,0.5000249398602895,124,0.5011168046945043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9353182751540041,0.5116279069767442,0.673469387755102,0.4125,0.39460290827740474,0.4791266998285317,0.34375,0.9360086767895879,0.5874125874125874,0.711864406779661,0.5,0.47971360381861583,0.5538734069250578,0.4158415841584158,0,1472,247,1472,222,1456,199,1448,210,0.6820858464336054,0.6820858464336054,422,0.006431025923574414,0.4354037814116445,0.09677935657613126,0.09677935657613126,157,0.0024548790202307607,0.1662042139184075,0.10239176917286989,0.10239176917286989,137,0.0030022997882272473,0.20326658549666737,0.11874302781739365,0.11874302781739365,162,0.002882052666109743,0.19512541917328094
120,0.25,25%,"45,90,180,360",1462,5848,246,0.5000249398602895,157,0.5008372037076835,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9363449691991786,0.5079365079365079,0.6956521739130435,0.4,0.3843400447427294,0.47654380916057004,0.3404255319148936,0.9316702819956616,0.5594405594405595,0.6779661016949152,0.47619047619047616,0.4535174451642232,0.5236275362081125,0.3883495145631068,0,1472,408,1472,369,1456,334,1448,351,0.6623164764783401,0.6623164764783401,599,0.00442323036955982,0.48572225613697273,0.10569894913105182,0.10569894913105182,277,0.0015245495970261423,0.16741331741533114,0.10652404421812556,0.10652404421812556,269,0.0015935693565078484,0.17499249156917962,0.1254605301724823,0.1254605301724823,317,0.0015651520028665906,0.17187193487851657
120,0.5,50%,"45,90,180,360",2924,5848,246,0.5000249398602895,185,0.5000344021403436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9373716632443532,0.5196850393700787,0.7021276595744681,0.4125,0.39684004474272916,0.4885950868494896,0.35106382978723405,0.9349240780911063,0.5774647887323944,0.7068965517241379,0.4880952380952381,0.46780884191385375,0.5434890245915167,0.40594059405940597,0,1472,768,1472,727,1456,703,1448,726,0.635606863525108,0.6356068635251079,928,0.00273259813419728,0.5549983526813781,0.11880171098450795,0.11880171098450792,676,0.0007027435652446201,0.14272919101687606,0.1168203122580851,0.11682031225808508,665,0.0007037714057835793,0.14293794831594708,0.1287711132322986,0.12877111323229856,655,0.0007845017505578,0.15933450798579915
120,1.0,100%,"45,90,180,360",5848,5848,246,0.5000249398602895,250,0.5003755511529913,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9363449691991786,0.5079365079365079,0.6956521739130435,0.4,0.3843400447427294,0.47654380916057004,0.3404255319148936,0.9327548806941431,0.5633802816901409,0.6896551724137931,0.47619047619047616,0.45471076258665755,0.5282719920779007,0.39215686274509803,0,1472,1472,1472,1472,1456,1456,1448,1448,0.6111205364843657,0.6111205364843657,1462,0.0016730598858180114,0.6113537714911262,0.12646966857230263,0.12646966857230263,1462,0.00034597351906456294,0.1264223818340864,0.1253711889304942,0.1253711889304942,1462,0.0003428227613989397,0.12527106167019905,0.13703860601283743,0.13703860601283743,1462,0.00037479152256372474,0.136952785004588
