window_size,forecast_lag_min,input_start,input_end,max_available_coeffs,n_slices,channels,feature_block_size,model_name,baseline_total_features,baseline_cumimp95_features,baseline_cumimp95_fraction,baseline_cumimp95_reached,cumulative_importance_threshold,candidate_target_fraction,selected_feature_count,selected_feature_fraction,selected_equivalent_k,train_accuracy,train_f1,train_precision,train_recall,train_tss,train_hss,train_css,val_accuracy,val_f1,val_precision,val_recall,val_tss,val_hss,val_css,test_accuracy,test_f1,test_precision,test_recall,test_tss,test_hss,test_css
180,15,345,705,91,2,4,16,RandomForestClassifier,1456,560,0.38461538461538464,0.9500525641470493,0.95,0.334615,488,0.33516483516483514,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.973305954825462,0.8311688311688312,0.8648648648648649,0.8,0.7888143176733782,0.8166999623613885,0.7111111111111111,0.9793926247288504,0.8834355828220859,0.9113924050632911,0.8571428571428571,0.8487896351858164,0.8721444523917264,0.7912087912087912
180,15,345,705,91,2,4,16,RandomForestClassifier,1456,560,0.38461538461538464,0.9500525641470493,0.95,0.384615,560,0.38461538461538464,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9743326488706365,0.8366013071895425,0.8767123287671232,0.8,0.7899328859060404,0.8227053632537753,0.7191011235955056,0.9793926247288504,0.8848484848484849,0.9012345679012346,0.8690476190476191,0.8595010796681442,0.8735363335787817,0.7934782608695652
180,15,345,705,91,2,4,16,RandomForestClassifier,1456,560,0.38461538461538464,0.9500525641470493,0.95,0.434615,633,0.43475274725274726,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.973305954825462,0.8311688311688312,0.8648648648648649,0.8,0.7888143176733782,0.8166999623613885,0.7111111111111111,0.9783080260303688,0.8765432098765432,0.9102564102564102,0.8452380952380952,0.8368848732810545,0.8646704829003375,0.7802197802197802
180,15,345,705,91,2,4,16,RandomForestClassifier,1456,560,0.38461538461538464,0.9500525641470493,0.95,0.484615,706,0.4848901098901099,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722792607802875,0.8258064516129032,0.8533333333333334,0.8,0.787695749440716,0.8107649132906383,0.7032967032967034,0.9772234273318872,0.8727272727272727,0.8888888888888888,0.8571428571428571,0.8464030003409477,0.8602243686923376,0.7741935483870968
180,30,330,690,91,2,4,16,RandomForestClassifier,1456,795,0.5460164835164835,0.9501439716797071,0.95,0.446016,650,0.44642857142857145,41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9681724845995893,0.7862068965517242,0.8769230769230769,0.7125,0.7035514541387025,0.7692119544446993,0.6477272727272727,0.96529284164859,0.8072289156626506,0.8170731707317073,0.7976190476190477,0.7797192862825322,0.7881616358884517,0.6767676767676768
180,30,330,690,91,2,4,16,RandomForestClassifier,1456,795,0.5460164835164835,0.9501439716797071,0.95,0.496016,723,0.4965659340659341,46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9681724845995893,0.7862068965517242,0.8769230769230769,0.7125,0.7035514541387025,0.7692119544446993,0.6477272727272727,0.9663774403470716,0.8121212121212121,0.8271604938271605,0.7976190476190477,0.7809126037049665,0.7936645442601176,0.6836734693877551
180,30,330,690,91,2,4,16,RandomForestClassifier,1456,795,0.5460164835164835,0.9501439716797071,0.95,0.546016,795,0.5460164835164835,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9671457905544147,0.7777777777777778,0.875,0.7,0.6910514541387025,0.760275658380507,0.6363636363636364,0.9642082429501084,0.8023952095808383,0.8072289156626506,0.7976190476190477,0.7785259688600978,0.7827179890023567,0.67
180,30,330,690,91,2,4,16,RandomForestClassifier,1456,795,0.5460164835164835,0.9501439716797071,0.95,0.596016,868,0.5961538461538461,55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9650924024640657,0.7638888888888888,0.859375,0.6875,0.6774328859060401,0.7452928870292888,0.6179775280898876,0.9642082429501084,0.8023952095808383,0.8072289156626506,0.7976190476190477,0.7785259688600978,0.7827179890023567,0.67
180,30,330,690,91,2,4,16,RandomForestClassifier,1456,795,0.5460164835164835,0.9501439716797071,0.95,0.646016,941,0.6462912087912088,59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9671457905544147,0.7808219178082192,0.8636363636363636,0.7125,0.7024328859060402,0.7632402540184133,0.6404494382022472,0.9642082429501084,0.8,0.8148148148148148,0.7857142857142857,0.7678145243777701,0.7803525793736735,0.6666666666666666
180,60,300,660,91,2,4,16,RandomForestClassifier,1456,901,0.6188186813186813,0.9501366584097038,0.95,0.518819,756,0.5192307692307693,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9527720739219713,0.6891891891891891,0.75,0.6375,0.6184843400447426,0.6638153550633291,0.5257731958762887,0.9522776572668112,0.725,0.7631578947368421,0.6904761904761905,0.6689964768723717,0.6989432438850629,0.5686274509803921
180,60,300,660,91,2,4,16,RandomForestClassifier,1456,901,0.6188186813186813,0.9501366584097038,0.95,0.568819,829,0.5693681318681318,52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9496919917864476,0.6754966887417219,0.7183098591549296,0.6375,0.615128635346756,0.6483339964926242,0.51,0.9544468546637744,0.7375,0.7763157894736842,0.7023809523809523,0.6820945561995679,0.7126276418902874,0.5841584158415841
180,60,300,660,91,2,4,16,RandomForestClassifier,1456,901,0.6188186813186813,0.9501366584097038,0.95,0.618819,902,0.6195054945054945,57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9507186858316222,0.6756756756756757,0.7352941176470589,0.625,0.6048657718120807,0.6491986313704304,0.5102040816326531,0.9544468546637744,0.7407407407407407,0.7692307692307693,0.7142857142857143,0.6928060006818957,0.7158080140907089,0.5882352941176471
180,60,300,660,91,2,4,16,RandomForestClassifier,1456,901,0.6188186813186813,0.9501366584097038,0.95,0.668819,974,0.6689560439560439,61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9517453798767967,0.6802721088435374,0.746268656716418,0.625,0.6059843400447429,0.6543961104652041,0.5154639175257731,0.9522776572668112,0.725,0.7631578947368421,0.6904761904761905,0.6689964768723717,0.6989432438850629,0.5686274509803921
180,60,300,660,91,2,4,16,RandomForestClassifier,1456,901,0.6188186813186813,0.9501366584097038,0.95,0.718819,1047,0.7190934065934066,66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9527720739219713,0.684931506849315,0.7575757575757576,0.625,0.6071029082774049,0.6596578651514691,0.5208333333333334,0.9533622559652929,0.7295597484276729,0.7733333333333333,0.6904761904761905,0.6701897942948061,0.704129912386752,0.5742574257425742
180,120,240,600,91,2,4,16,RandomForestClassifier,1456,1003,0.6888736263736264,0.9500023330251772,0.95,0.588874,858,0.5892857142857143,54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9363449691991786,0.5,0.7045454545454546,0.3875,0.37295861297539146,0.4690511359639868,0.3333333333333333,0.9273318872017353,0.5379310344827586,0.639344262295082,0.4642857142857143,0.4380327309921581,0.4995706485636979,0.36792452830188677
